지역명,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
당진시,98.546928,98.216259,97.794976,97.593964,97.593964,97.549304,97.385979,97.341024,97.659428,97.659352,98.12631,98.508583,98.898553,99.440938,99.800876,100,100.1118372,100.3502107,100.3503301,100.4690349,100.5004715,100.5314385,100.5434769,100.3680129,99.83083429,99.650007,99.21658772,98.6114013,98.29947442,97.43329519,96.64915055,95.98262741,95.36479116,95.11596265,94.87226272,94.83468111,94.70706505,94.03764801,93.50419662,93.43798056,93.29130127,93.21980737,92.42531957,91.85274223,91.59971193,91.33627277,91.12074943,91.05536933,91.04647953,90.91384231,90.88613377,90.74862498,90.48467118,90.20087898,89.99214176,89.80867596,89.75673794,90.11584413,90.38319682,90.57581206,90.69686521
금산군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.18840082,98.18840082,98.21192338,98.21192338,97.7242316,95.81175948,94.69088239,94.69088239,94.69088239,94.16730644,93.99781368,93.89138411,93.89138411,93.72024985,93.72024985,93.61460919,93.13007781,93.11184576,93.11184576,93.11184576,93.11184576,93.02315248,93.25952315,93.28100436,93.26413299,93.19408431,93.07399303,92.93806744,93.0043281,93.0043281,93.0043281,92.74431057,92.74431057,92.25120304,92.24235423,92.24235423
부여군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.939079,105.1083547,104.447962,104.8362344,105.2585865,105.6907026,106.5959997,106.5959997,106.7692642,106.8257779,106.8257779,106.8257779,106.8257779,107.2013433,107.3446619,108.3775757,110.6290687,110.6290687,110.6769484,110.6769484,110.8003903,110.9070814,111.6053292,113.2052526,114.1424724,114.6042699,114.90927,114.90927,114.90927,114.90927,115.0263122,114.5681249,114.5681249,115.0587795,115.2267733,115.0580404
서천군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0025772,100.0025772,100.0025772,98.64970935,98.50819411,98.50819411,98.30300796,98.30300796,98.4546809,98.4546809,98.4546809,98.47777485,98.47777485,98.47777485,99.07256668,99.07256668,99.07256668,99.07256668,99.45446839,99.45446839,99.51388199,99.51388199,100.1736298,100.6839678,101.0190319,102.0689147,102.0689147,102.0689147,102.0689147,102.9643355,103.3022481,103.3022481,103.3022481,103.8871756,104.1700259,104.1700259
청양군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,100.446414,101.1474921,101.1474921,101.1474921,101.1474921,101.1474921,101.1474921,101.1474921,101.1474921,101.1474921,101.1474921,101.1474921,101.1474921,101.1474921
홍성군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.60735223,99.38493919,98.95784706,94.85139538,93.40692682,91.95702731,91.60876485,90.77497872,88.75422845,88.58743848,88.38807517,87.97762881,87.90242345,87.52338495,86.74241364,86.67203418,85.79938158,85.50679942,84.82356297,83.90479813,83.85779249,83.51546083,83.5148854,83.15684597,82.59723277,81.41219724,80.5946271,80.36826367,79.12565659,78.35320731,78.18599732,77.52817481,77.45086495,77.31943466,77.01077487,76.91024667
예산군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103.2212935,103.4313264,103.3748837,102.5382809,102.6854761,102.6512916,102.5070135,102.494486,102.4899635,102.6748042,102.6748042,102.7811089,102.8126735,102.6400961,102.4075322,102.4075322,101.9180668,101.8005159,101.5838269,100.9715511,100.9209382,100.9209382,100.610259,100.5039413,100.5039413,100.4713449,100.456751,100.2179955,100.1910985,100.2869414,100.2204521,99.75520263,99.79084802,99.70957151,99.13196223,99.13196223
태안군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103.5797578,105.0093811,105.0093811,105.0093811,105.0093811,104.9147758,104.9147758,104.9147758,105.0307148,105.0307148,105.2066834,105.2066834,105.2066834,105.337464,105.337464,105.337464,105.337464,105.4105845,105.7191351,105.7191351,105.7191351,105.838169,105.838169,105.838169,106.3778428,106.4348703,106.4348703,106.4639938,106.7502185,106.9916434,106.9916434,107.1012522,106.9496999,106.9496999,106.9496999,106.9496999
전남,94.440184,94.968475,95.677788,95.713264,95.912827,96.090004,96.492939,96.855252,97.423163,97.841234,98.121297,98.506996,98.924241,99.490682,99.837962,100,100.1476768,100.3080396,100.292289,100.1824386,100.0848332,99.87644266,99.59861789,99.48079187,99.06456021,98.00585504,97.34578678,96.89149078,96.33918499,95.92680366,95.59358358,95.28393405,94.96802211,94.65533497,94.4780969,94.40479739,94.43569608,94.4075328,94.27144462,94.09672691,94.02485466,93.88242342,93.77344435,93.62449991,93.51913313,93.29888247,93.08782277,92.99498728,92.91453101,92.88929764,92.82002192,92.66589226,92.52681099,92.34370357,92.23733614,92.05248893,91.86909302,91.75857594,91.70305083,91.69184052,91.62427705
목포시,98.607113,98.498766,98.31318,97.679157,97.703451,97.70349,97.699781,97.699829,97.567785,97.546921,97.306055,97.225555,98.013425,99.125699,99.826836,100,100.187285,100.505213,100.6589116,101.0601461,101.5080822,101.9577886,101.9577886,101.8650537,101.8300167,101.6892133,101.6179385,101.4591036,101.4362924,101.0623286,101.0017455,100.824361,100.6678981,100.4974132,100.5685704,100.5990641,100.6232659,100.5676769,100.4540847,100.3752199,100.3217158,100.1058217,99.77424627,99.54231315,99.43332798,99.25934446,99.10373281,98.95649489,98.8849822,98.93603007,99.11782476,99.17443648,99.20211167,99.24656686,99.32889196,99.38241208,99.44323009,99.53240427,99.58706894,99.86565951,99.87524949
여수시,91.497911,92.691772,93.951137,94.205995,94.267924,94.556477,95.06247,95.458435,96.759627,97.234645,97.777735,98.473674,98.723149,99.335827,99.860847,100,100.0108387,100.0108805,100.0190064,99.73804068,99.32902379,98.67592512,98.41475777,98.10839196,97.58591942,95.41965056,94.55193046,93.78286008,93.30429412,93.08982744,92.778489,92.23361312,91.606494,91.21680544,90.92054366,90.76192134,90.68757621,90.50776035,90.23050743,89.89480214,89.72488434,89.61210591,89.37606115,89.34330574,89.28430543,89.07325324,88.83670174,88.73019851,88.76024819,88.9217672,88.88901924,88.81408561,88.7589524,88.46716784,88.43258004,88.1082202,87.88205032,87.66821901,87.57772773,87.49865003,87.30083498
순천시,93.368849,93.759017,94.562959,94.896785,95.172156,95.495277,96.331824,96.795005,97.373229,97.78133,98.194678,98.755469,99.181847,99.602118,99.707756,100,100.2510277,100.4284369,100.3157923,99.98323515,99.93513241,99.80626211,99.28035561,99.26156541,98.64806729,97.97794327,97.19456926,96.51866418,95.26347322,94.31751827,93.93562377,93.7252296,93.60846275,93.47175419,93.37161241,93.34105158,93.56544496,93.71424716,93.66466097,93.37448517,93.3216722,93.111132,92.87686792,92.62324911,92.36428374,91.99926924,91.7215766,91.47906592,91.39624147,91.18419597,91.01339705,90.90418136,90.79604074,90.55074478,90.35878872,90.16709211,89.74595521,89.67970707,89.62668929,89.62044303,89.63975609
나주시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.40915438,92.44386842,91.77791036,91.44541622,90.75121172,90.64747634,90.14706137,89.79215916,89.2965156,89.26683909,89.40899462,89.38330752,89.52327597,89.47183398,89.4738624,89.45414671,89.16928068,88.88622563,88.70477015,88.47775614,88.0328561,87.18349089,87.08670742,86.6334646,86.43638616,86.08863217,85.50843566,85.11952879,85.07592903,84.84723374,84.61807946,84.35940743,83.89323935,83.6304687,83.57829283,83.38556735
광양시,95.279086,95.879735,96.814804,96.919636,97.486443,97.458474,97.469946,98.136923,98.468842,99.482495,99.844105,100.062866,100.187315,100.112219,100.065881,100,100.128981,100.2967159,100.1643683,99.99826874,99.51400898,98.92298135,98.66584226,98.65138572,98.21552761,96.47650689,96.18362774,95.94351002,95.50714117,95.34856204,94.64214141,94.18034797,93.56128134,92.47528686,91.76712549,91.56011329,91.48326093,91.25304648,91.06396064,90.94961934,90.6793309,90.66454023,90.75897903,90.84643883,90.96512167,90.9896626,90.88877807,90.76801316,90.62745571,90.52253708,90.31470606,89.85537316,89.34012117,88.88224737,88.54571948,88.03213116,87.88517093,87.72994314,87.54061711,87.1163213,86.93646359
담양군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101.1867152,100.3969653,100.3969653,100.3969653,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.6440451,101.8246256,101.8246256,101.8246256,101.8246256,101.8246256,101.8246256,100.9759071,100.9759071,100.9759071,100.9759071,100.9759071,100.9759071,100.9759071,100.7837218,99.86835043,99.86835043
